Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;1;WASSERMANN;Ma≥gorzata Ewa;Kobieta;adwokat;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;140692;54,78%;21,67%;Tak
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;2;TERLECKI;Ryszard Iwon;MÍøczyzna;wyk≥adowca akademicki;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;10327;4,02%;1,59%;Tak
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;3;ADAMCZYK;Andrzej Mieczys≥aw;MÍøczyzna;parlamentarzysta;Krzeszowice;120606;gm. Krzeszowice;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;29686;11,56%;4,57%;Tak
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;4;BUBULA;Barbara Ewa;Kobieta;filolog polski;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;7909;3,08%;1,22%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;5;OSUCH;Jacek Piotr;MÍøczyzna;parlamentarzysta;Olkusz;121205;gm. Olkusz;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;12150;4,73%;1,87%;Tak
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;6;∆WIK;Piotr Krzysztof;MÍøczyzna;nauczyciel;Borek Szlachecki;120611;gm. Skawina;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;7244;2,82%;1,12%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;7;DUDA;Eløbieta;Kobieta;parlamentarzysta;Ska≥a;120610;gm. Ska≥a;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;8298;3,23%;1,28%;Tak
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;8;åWIERCZEK;Krzysztof;MÍøczyzna;nauczyciel historii;MiechÛw;120805;gm. MiechÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;3443;1,34%;0,53%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;9;GAMROT;Piotr Tadeusz;MÍøczyzna;dyrektor domu kultury;Wolbrom;121207;gm. Wolbrom;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;4452;1,73%;0,69%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;10;ZIOBRO;Jan Pawe≥;MÍøczyzna;ekonomista;Zakrzowiec;121904;gm. Niepo≥omice;cz≥onek partii politycznej: Solidarna Polska;;4932;1,92%;0,76%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;11;PODOSEK;Adam Piotr;MÍøczyzna;lekarz;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;271;0,11%;0,04%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;12;DANIO£;Ewa;Kobieta;inøynier rolnictwa;Koz≥Ûw;120803;gm. Koz≥Ûw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;1298;0,51%;0,20%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;13;DOPART;Bogus≥aw Jan;MÍøczyzna;nauczyciel akademicki;Chorπgwica;121905;gm. Wieliczka;nie naleøy do partii politycznej;;364;0,14%;0,06%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;14;SERAFIN;Piotr Karol;MÍøczyzna;ekonomista;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;1099;0,43%;0,17%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;15;NOWAK;Stanis≥aw Andrzej;MÍøczyzna;straøak;KarniÛw;120605;gm. KocmyrzÛw-Luborzyca;nie naleøy do partii politycznej;;689;0,27%;0,11%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;16;STANOWSKA-CICHO—;Bogus≥awa Maria;Kobieta;filolog polski;Wieliczka;121905;gm. Wieliczka;nie naleøy do partii politycznej;;398;0,15%;0,06%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;17;KUå;Rafa≥ Andrzej;MÍøczyzna;informatyk;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;694;0,27%;0,11%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;18;FRANKIEWICZ;Krystyna Anna;Kobieta;ekonomista;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;389;0,15%;0,06%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;19;BUDKOWSKA;Anna Maria;Kobieta;filozof;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;234;0,09%;0,04%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;20;KA£UØA;Szymon Franciszek;MÍøczyzna;technik wiertnik;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;321;0,12%;0,05%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;21;KACZMARCZYK;Magdalena Maria;Kobieta;student;Dobranowice;120602;gm. Igo≥omia-WawrzeÒczyce;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;835;0,33%;0,13%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;22;FIRLEJ;Pawe≥ Jacek;MÍøczyzna;adwokat;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;385;0,15%;0,06%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;23;P K;Bogdan Marek;MÍøczyzna;mgr inø. zootechniki;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;2571;1,00%;0,40%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;24;KOSECKA;Justyna Natalia;Kobieta;wyøszy urzÍdnik paÒstwowy;TÍgoborze;121010;gm. £ososina Dolna;nie naleøy do partii politycznej;;318;0,12%;0,05%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;25;G GOTEK;Zbigniew;MÍøczyzna;chemik;Sieniczno;121205;gm. Olkusz;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;386;0,15%;0,06%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;26;GRUSZKA;Stanis≥aw Piotr;MÍøczyzna;inø. chemik;LibertÛw;120609;gm. Mogilany;cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ;;777;0,30%;0,12%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;27;B TKOWSKA;Monika;Kobieta;menadøer;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;883;0,34%;0,14%;Nie
13;KrakÛw;2;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆;ZPOW-601-9/19;Komitet wyborczy partii politycznej;28;GOWIN;Jaros≥aw Adam;MÍøczyzna;nauczyciel akademicki;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Porozumienie Jaros≥awa Gowina;;15802;6,15%;2,43%;Tak
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;1;GDULA;Maciej Roman;MÍøczyzna;socjolog;Warszawa;146510;årÛdmieúcie;nie naleøy do partii politycznej;;35279;41,77%;5,43%;Tak
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;2;GOSEK-POPIO£EK;Daria Iwona;Kobieta;kierowniczka domu kultury;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;17488;20,71%;2,69%;Tak
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;3;LIPI—SKA-PIEKARSKA;Joanna Olszyna;Kobieta;urzÍdnik samorzπdowy;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;5059;5,99%;0,78%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;4;KR”L;JÛzef Stanis≥aw;MÍøczyzna;technik elektryk;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;2186;2,59%;0,34%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;5;DROPEK;Magdalena;Kobieta;dziennikarka;Øywiec;241701;m. Øywiec;nie naleøy do partii politycznej;;2344;2,78%;0,36%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;6;KUBA—SKA;Magdalena Bronis≥awa;Kobieta;ksiÍgowa;Bukowno;121201;m. Bukowno;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1889;2,24%;0,29%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;7;BIELAWSKA;Barbara Ewa;Kobieta;pedagoøka;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;2130;2,52%;0,33%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;8;TRZYBI—SKI;Marek;MÍøczyzna;emeryt;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Sojusz Lewicy Demokratycznej;;1001;1,19%;0,15%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;9;SZYMA—SKA;Monika Anna;Kobieta;psycholog;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;2022;2,39%;0,31%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;10;PLEBA—CZYK;Piotr;MÍøczyzna;politolog;Uúcie Solne;120207;gm. Szczurowa;nie naleøy do partii politycznej;;582;0,69%;0,09%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;11;HA—DEREK;Joanna Ewa;Kobieta;nauczyciel akademicki;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;2734;3,24%;0,42%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;12;åRODA;Piotr Andrzej;MÍøczyzna;elektronik;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;941;1,11%;0,14%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;13;BERYT;Alicja Joanna;Kobieta;grafik komputerowy DTP;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;716;0,85%;0,11%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;14;FRENKIEL;Monika Iwona;Kobieta;dziennikarka;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;873;1,03%;0,13%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;15;KAW CKA;Dorota Zuzanna;Kobieta;specjalistka ds. pozyskiwania funduszy;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;638;0,76%;0,10%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;16;BURZAWA;Mateusz Ryszard;MÍøczyzna;religioznawca;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;338;0,40%;0,05%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;17;WOLA—SKA;Katarzyna Anna;Kobieta;politolog;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;810;0,96%;0,12%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;18;IVCHENKO;Olesia;Kobieta;psycholog;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;418;0,49%;0,06%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;19;IDZIK;Tomasz Grzegorz;MÍøczyzna;student;Aleksandrowice;120616;gm. ZabierzÛw;nie naleøy do partii politycznej;;554;0,66%;0,09%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;20;GULI—SKA;Anna Ma≥gorzata;Kobieta;prezeska;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;388;0,46%;0,06%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;21;MODZELEWSKI;Bart≥omiej Jakub;MÍøczyzna;pedagog;Warszawa;146507;Praga-Po≥udnie;nie naleøy do partii politycznej;;434;0,51%;0,07%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;22;GROBLER;Piotr Pawe≥;MÍøczyzna;specjalista ds. pozyskiwania funduszy;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;188;0,22%;0,03%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;23;ZIELENIEWSKI;Rafa≥ Roman;MÍøczyzna;informatyk;Warszawa;146518;Wola;cz≥onek partii politycznej: Polska Partia Socjalistyczna;;201;0,24%;0,03%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;24;JAåKOW;Adam Stanis≥aw;MÍøczyzna;specjalista analityk;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;261;0,31%;0,04%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;25;GALENT;Marcin;MÍøczyzna;nauczyciel akademicki - nauki ekonomiczne;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Lewica Razem;;505;0,60%;0,08%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;26;TEKIEL;Paulina Agnieszka;Kobieta;sekretarz sπdowy;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;366;0,43%;0,06%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;27;GA£KA;Kinga;Kobieta;technik hotelarstwa;Olkusz;121205;gm. Olkusz;nie naleøy do partii politycznej;;1041;1,23%;0,16%;Nie
13;KrakÛw;3;KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ;ZPOW-601-1/19;Komitet wyborczy partii politycznej;28;LEåNIAK;Tomasz Marek;MÍøczyzna;politolog;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;3071;3,64%;0,47%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;1;BERKOWICZ;Konrad Szczepan;MÍøczyzna;programista;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Korwin;;36428;70,25%;5,61%;Tak
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;2;KUPIEC;Kamil Dawid;MÍøczyzna;przedsiÍbiorca;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;2927;5,64%;0,45%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;3;KRZYSZTONEK;Jakub Artur;MÍøczyzna;kustosz biblioteczny;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Ruch Narodowy;;845;1,63%;0,13%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;4;BOCHE—CZAK;Bartosz Sebastian;MÍøczyzna;ekonomista;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Korwin;;846;1,63%;0,13%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;5;GOLONKA;Wojciech Jerzy;MÍøczyzna;przedsiÍbiorca;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;1210;2,33%;0,19%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;6;MOSZKOWICZ;Tomasz;MÍøczyzna;handlowiec;Libiπø;120304;gm. Libiπø;nie naleøy do partii politycznej;;402;0,78%;0,06%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;7;MASZTAFIAK;Gabriela;Kobieta;student;Gorlice;120501;m. Gorlice;cz≥onek partii politycznej: Ruch Narodowy;;640;1,23%;0,10%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;8;WOCH;JÛzef;MÍøczyzna;inøynier elektronik;ZabierzÛw;120616;gm. ZabierzÛw;nie naleøy do partii politycznej;;524;1,01%;0,08%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;9;PAPIEØ;Stanis≥aw;MÍøczyzna;dziennikarz;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Ruch Narodowy;;1397;2,69%;0,22%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;10;£UKASZEWSKA-BAUMAN;Joanna;Kobieta;grafik komputerowy;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Korwin;;371;0,72%;0,06%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;11;BARTOSZ;Piotr Pawe≥;MÍøczyzna;technik informatyk;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Ruch Narodowy;;544;1,05%;0,08%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;12;WALKIEWICZ;Micha≥;MÍøczyzna;architekt;Olkusz;121205;gm. Olkusz;nie naleøy do partii politycznej;;381;0,73%;0,06%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;13;DROZD;Bart≥omiej;MÍøczyzna;wykwalifikowany pracownik ochrony;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Ruch Narodowy;;500;0,96%;0,08%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;14;TRZAJNA;Tomasz Krzysztof;MÍøczyzna;fizjoterapeuta;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;151;0,29%;0,02%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;15;£OPACI—SKA;Barbara;Kobieta;nauczyciel;Liszki;120607;gm. Liszki;nie naleøy do partii politycznej;;331;0,64%;0,05%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;16;CZOSNOWSKA;Aleksandra;Kobieta;pedagog;Wieliczka;121905;gm. Wieliczka;nie naleøy do partii politycznej;;324;0,62%;0,05%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;17;MONTICELLI;Krzysztof Jan;MÍøczyzna;uczeÒ;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Ruch Narodowy;;206;0,40%;0,03%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;18;ZAJ•C;Grzegorz Lucjan;MÍøczyzna;przedsiÍbiorca;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;309;0,60%;0,05%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;19;SOBIENIOWSKI;Mi≥osz Stanis≥aw;MÍøczyzna;przedsiÍbiorca;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;186;0,36%;0,03%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;20;SMORO—;Anna JÛzefa;Kobieta;instruktor taÒca;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;165;0,32%;0,03%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;21;ADAMCZYK;Jakub Jan;MÍøczyzna;przedsiÍbiorca;KrakÛw;126101;m. KrakÛw;cz≥onek partii politycznej: Korwin;;521;1,00%;0,08%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;22;DZIADOSZ;Jagoda;Kobieta;technik laboratoryjny;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;212;0,41%;0,03%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;23;P CZEK;Janina;Kobieta;nauczyciel;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;133;0,26%;0,02%;Nie
13;KrakÛw;4;KOMITET WYBORCZY KONFEDERACJA WOLNOå∆ I NIEPODLEG£Oå∆;ZPOW-601-5/19;Komitet wyborczy partii politycznej;24;HOJDA;Iwona Katarzyna;Kobieta;bibliotekoznawca;KrakÛw;126101;m. KrakÛw;nie naleøy do partii politycznej;;197;0,38%;0,03%;Nie
